"code","id","gcode","time","dtime","cycle","ens","lev","hs","hx","cx","hs_sw8","hs_sw2","hs_sea","hs_sea8","dp","dpm","dpm_sw8","dpm_sw2","dpm_sea","dpm_sea8","tp","tp_sw2","tp_sw8","tp_sea","tp_sea8","tm","tm_sw1","tm_sw2","tm_sea","tm_sea8","wsp","gst","wd","csp0","cd0","ss","sst","etmax","hs_ig","hs_fig","vis","tsp","swe","swe_sw","swe_sw2","swe_sea","hs_sw1","tp_sw1","dpm_sw1","swe_sw1","tmp","rh","cld","el","precip","cb","wsp50","wd50","wsp80","wd80","wsp100","wd100","row_id","tm01","tm02"
"example_0_0_0_735628.000000","example",0,"2015-01-29 00:00:00",735628,"2015-01-28 12:00:00",0,0,1.69664,3.15575,1.74754,1.44562,,0.67656,0.888115,,246.007,246.007,,121.34,,11.7685,,11.7685,4.49714,,,,,,,6.0983,7.44198,131.198,0.088863,287.362,0.006437,20.5377,1.14835,,,6.70182,0,,,,,1.51394,11.7635,245.502,,19.3113,90.1429,0,,0,,6.59854,131.19,6.69906,131.081,6.7669,131.006,79565634,7.78327,6.50759
"example_0_0_0_735628.041667","example",0,"2015-01-29 01:00:00",735628.041667,"2015-01-28 12:00:00",0,0,1.68983,3.14307,1.74052,1.42828,,0.696876,0.90307,,245.979,245.979,,121.477,,11.7286,,11.7286,4.43946,,,,,,,6.39631,7.81995,132.537,0.137963,289.054,0.000193,20.6224,1.53333,,,6.77321,0,,,,,1.49867,11.723,245.453,,19.3563,89.8038,0,,0,,6.93763,132.362,7.03375,132.48,7.10048,132.399,79565635,7.59203,6.3124
"example_0_0_0_735628.083333","example",0,"2015-01-29 02:00:00",735628.083333,"2015-01-28 12:00:00",0,0,1.67247,3.1108,1.72265,1.41082,,0.691862,0.898197,,245.952,245.952,,121.478,,11.6875,,11.6875,4.39181,,,,,,,6.4939,7.94401,134.565,0.203317,282.4,-0.023295,20.7109,2.02611,,,7.03961,0,,,,,1.48317,11.6814,245.4,,19.4507,88.5694,0,,0,,7.01419,134.386,7.09099,134.295,7.14493,134.137,79565636,7.57302,6.30514
"example_0_0_0_735628.125000","example",0,"2015-01-29 03:00:00",735628.125,"2015-01-28 12:00:00",0,0,1.65299,3.07457,1.70258,1.39388,,0.683521,0.888531,,245.898,245.898,,121.374,,11.6561,,11.6561,4.37034,,,,,,,5.33734,6.48289,144.713,0.271282,276.099,-0.017503,20.8054,2.49874,,,7.47327,0,,,,,1.46844,11.65,245.338,,19.7142,86.6564,0,,0,,5.72914,144.86,5.74162,144.218,5.77357,144.026,79565637,7.57681,6.32344
"example_0_0_0_735628.166667","example",0,"2015-01-29 04:00:00",735628.166667,"2015-01-28 12:00:00",0,0,1.62797,3.02802,1.67681,1.37519,,0.663599,0.871282,,245.857,245.857,,120.581,,11.6168,,11.6168,4.35251,,,,,,,4.34179,5.24125,159.307,0.32508,270.775,-0.022154,20.8814,2.82714,,,7.39785,0,,,,,1.45066,11.61,245.273,,19.7949,86.981,0,,0,,4.64298,159.474,4.60727,159.21,4.60681,159.263,79565638,7.63122,6.39298
"example_0_0_0_735628.208333","example",0,"2015-01-29 05:00:00",735628.208333,"2015-01-28 12:00:00",0,0,1.60026,2.97649,1.64827,1.35635,,0,0.849204,,245.818,245.818,,,,11.5724,,11.5724,,,,,,,,4.97014,6.02319,158.296,0.35355,264.367,0.005637,20.9023,2.92989,,,7.20818,0,,,,,1.43261,11.565,245.208,,19.8371,87.8121,0,,0,,5.35253,158.056,5.38236,157.908,5.38671,157.724,79565639,7.7323,6.52596
"example_0_0_0_735628.250000","example",0,"2015-01-29 06:00:00",735628.25,"2015-01-28 12:00:00",0,0,1.57198,2.92388,1.61914,1.33759,,0,0.82581,,245.774,245.774,,,,11.5265,,11.5265,,,,,,,,5.15098,6.24933,153.411,0.330654,256.269,0.01175,20.8688,2.92593,,,7.14372,0,,,,,1.41415,11.5185,245.139,,19.9489,88.0996,0,,0,,5.60064,153.145,5.64666,152.905,5.68067,152.584,79565640,7.8221,6.64487
"example_0_0_0_735628.291667","example",0,"2015-01-29 07:00:00",735628.291667,"2015-01-28 12:00:00",0,0,1.54954,2.88214,1.59602,1.31824,,0,0.814437,,245.738,245.738,,,,11.4738,,11.4738,,,,,,,,5.45684,6.63293,145.71,0.283645,243.127,-0.014088,20.812,2.76192,,,6.92486,0,,,,,1.39587,11.4645,245.066,,20.0128,89.0953,0,,0,,5.95129,145.722,6.02834,145.332,6.07648,145.297,79565641,7.83425,6.67916
"example_0_0_0_735628.333333","example",0,"2015-01-29 08:00:00",735628.333333,"2015-01-28 12:00:00",0,0,1.5304,2.84655,1.57632,1.29899,,0.586343,0.809168,,245.695,245.695,,117.924,,11.4141,,11.4141,4.31417,,,,,,,5.86014,7.14088,142.523,0.233685,224.906,0.009536,20.7624,2.39957,,,7.10621,0,,,,,1.37788,11.4034,244.989,,20.0756,88.268,0,,0,,6.49685,142.382,6.63202,142.207,6.70368,142.126,79565642,7.76034,6.59317
"example_0_0_0_735628.375000","example",0,"2015-01-29 09:00:00",735628.375,"2015-01-28 12:00:00",0,0,1.51577,2.81933,1.56124,1.27973,,0.593222,0.812309,,245.643,245.643,,117.556,,11.352,,11.352,4.30823,,,,,,,7.05878,8.66494,145.131,0.211102,200.754,0.027758,20.7408,1.92714,,,7.27385,0,,,,,1.3599,11.34,244.906,,20.0991,87.5219,0,,0,,7.8693,145.103,8.05991,144.812,8.19119,144.692,79565643,7.61103,6.40941
